,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p2udt7lv-p2ulv8),p2udt7lv.1.2,p2ulv8.1.2,1P_UG_AL_1/0_Brenau_2,0.0151435,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12052lv-p2ulv45219),p2udt12052lv.1.2,p2ulv45219.1.2,1P_UG_AL_1/0_Brenau_2,0.0151691,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38184-p2ulv44761),p2udm38184.1.2,p2ulv44761.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0103936,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38184-p2ulv45220),p2udm38184.1.2,p2ulv45220.1.2,1P_UG_AL_1/0_Brenau_2,0.0115805,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38189-p2ulv45221),p2udm38189.1.2,p2ulv45221.1.2,1P_UG_AL_1/0_Brenau_2,0.0113515,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38184-p2udm38189),p2udm38184.1.2,p2udm38189.1.2,1P_UG_AL_1/0_Brenau_2,0.0099149,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38184-p2udt12052lv),p2udt12052lv.1.2,p2udm38184.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00992641,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38185-p2ulv44763),p2udm38185.1.2,p2ulv44763.1.2,1P_UG_AL_1/0_Brenau_2,0.0154734,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38185-p2ulv45218),p2udm38185.1.2,p2ulv45218.1.2,1P_UG_AL_1/0_Brenau_2,0.0146959,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38185-p2udt12052lv),p2udt12052lv.1.2,p2udm38185.1.2,1P_UG_AL_1/0_Brenau_2,0.00991655,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12053lv-p2ulv44762),p2udt12053lv.1.2,p2ulv44762.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0145515,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12054lv-p2ulv44764),p2udt12054lv.1.2,p2ulv44764.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0112328,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12054lv-p2ulv45217),p2udt12054lv.1.2,p2ulv45217.1.2,1P_UG_AL_1/0_Brenau_2,0.0154468,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12055lv-p2ulv44765),p2udt12055lv.1.2,p2ulv44765.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0101477,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12056lv-p2ulv44766),p2udt12056lv.1.2,p2ulv44766.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0100918,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38195-p2ulv45213),p2udm38195.1.2,p2ulv45213.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0133957,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38195-p2udt12056lv),p2udt12056lv.1.2,p2udm38195.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00992477,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12057lv-p2ulv44767),p2udt12057lv.1.2,p2ulv44767.1.2,1P_UG_AL_2/0_Converse_2,0.0136119,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt12057lv-p2ulv45216),p2udt12057lv.1.2,p2ulv45216.1.2,1P_UG_AL_1/0_Brenau_2,0.00866748,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38197-p2ulv44768),p2udm38197.1.2,p2ulv44768.1.2,1P_UG_AL_1/0_Brenau_2,0.0179531,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38197-p2udt12057lv),p2udt12057lv.1.2,p2udm38197.1.2,1P_UG_AL_1/0_Brenau_2,0.00992477,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38198-p2ulv45215),p2udm38198.1.2,p2ulv45215.1.2,1P_UG_AL_1/0_Brenau_2,0.00864838,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38198-p2udt12057lv),p2udt12057lv.1.2,p2udm38198.1.2,1P_UG_AL_1/0_Brenau_2,0.00991655,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12058lv-p2ulv44773),p2udt12058lv.1.2,p2ulv44773.1.2,1P_UG_AL_1/0_Brenau_2,0.0100954,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12058lv-p2ulv45211),p2udt12058lv.1.2,p2ulv45211.1.2,1P_UG_AL_1/0_Brenau_2,0.0102888,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12059lv-p2ulv45180),p2udt12059lv.1.2,p2ulv45180.1.2,1P_UG_AL_1/0_Brenau_2,0.0109728,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38202-p2ulv44774),p2udm38202.1.2,p2ulv44774.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0157532,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38202-p2udt12059lv),p2udt12059lv.1.2,p2udm38202.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00989353,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38204-p2ulv45182),p2udm38204.1.2,p2ulv45182.1.2,1P_UG_AL_1/0_Brenau_2,0.0198624,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38204-p2udt12059lv),p2udt12059lv.1.2,p2udm38204.1.2,1P_UG_AL_1/0_Brenau_2,0.00988531,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12060lv-p2ulv44776),p2udt12060lv.1.2,p2ulv44776.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0106352,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12062lv-p2ulv44791),p2udt12062lv.1.2,p2ulv44791.1.2,1P_UG_AL_2/0_Converse_2,0.0206916,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm38211-p2ulv44809),p2udm38211.1.2,p2ulv44809.1.2,1P_UG_AL_1/0_Brenau_2,0.00912187,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38211-p2ulv45197),p2udm38211.1.2,p2ulv45197.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.012032,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38211-p2udt12065lv),p2udt12065lv.1.2,p2udm38211.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0395272,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38212-p2ulv44823),p2udm38212.1.2,p2ulv44823.1.2,1P_UG_AL_1/0_Brenau_2,0.00984342,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38210-p2ulv44797),p2udm38210.1.2,p2ulv44797.1.2,1P_UG_AL_1/0_Brenau_2,0.0280121,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38210-p2udm38212),p2udm38212.1.2,p2udm38210.1.2,1P_UG_AL_1/0_Brenau_2,0.0297069,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38212-p2udt12065lv),p2udt12065lv.1.2,p2udm38212.1.2,1P_UG_AL_1/0_Brenau_2,0.0099034,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12068lv-p2ulv44810),p2udt12068lv.1.2,p2ulv44810.1.2,1P_UG_AL_1/0_Brenau_2,0.00895595,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38219-p2ulv44808),p2udm38219.1.2,p2ulv44808.1.2,1P_UG_AL_1/0_Brenau_2,0.00881255,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38219-p2ulv44820),p2udm38219.1.2,p2ulv44820.1.2,1P_UG_AL_1/0_Brenau_2,0.0104231,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38224-p2ulv44821),p2udm38224.1.2,p2ulv44821.1.2,1P_UG_AL_1/0_Brenau_2,0.010115,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38227-p2ulv45243),p2udm38227.1.2,p2ulv45243.1.2,1P_UG_AL_1/0_Brenau_2,0.0107141,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38224-p2udm38227),p2udm38224.1.2,p2udm38227.1.2,1P_UG_AL_1/0_Brenau_2,0.0110718,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38219-p2udm38224),p2udm38219.1.2,p2udm38224.1.2,1P_UG_AL_1/0_Brenau_2,0.00991326,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38219-p2udt12068lv),p2udt12068lv.1.2,p2udm38219.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0099034,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38221-p2ulv44811),p2udm38221.1.2,p2ulv44811.1.2,1P_UG_AL_1/0_Brenau_2,0.00963434,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38221-p2ulv44812),p2udm38221.1.2,p2ulv44812.1.2,1P_UG_AL_1/0_Brenau_2,0.00996334,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38221-p2ulv44824),p2udm38221.1.2,p2ulv44824.1.2,1P_UG_AL_1/0_Brenau_2,0.00988002,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38226-p2ulv44825),p2udm38226.1.2,p2ulv44825.1.2,1P_UG_AL_1/0_Brenau_2,0.0102627,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38221-p2udm38226),p2udm38221.1.2,p2udm38226.1.2,1P_UG_AL_1/0_Brenau_2,0.0099034,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38221-p2udt12068lv),p2udt12068lv.1.2,p2udm38221.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00990177,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12069lv-p2ulv44813),p2udt12069lv.1.2,p2ulv44813.1.2,1P_UG_AL_1/0_Brenau_2,0.0127608,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt12069lv-p2ulv45203),p2udt12069lv.1.2,p2ulv45203.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0116363,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt12070lv-p2ulv45206),p2udt12070lv.1.2,p2ulv45206.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0117706,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38230-p2ulv44815),p2udm38230.1.2,p2ulv44815.1.2,1P_UG_AL_1/0_Brenau_2,0.0147325,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38230-p2ulv45205),p2udm38230.1.2,p2ulv45205.1.2,1P_UG_AL_2/0_Converse_2,0.0112702,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm38230-p2udt12070lv),p2udt12070lv.1.2,p2udm38230.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00930663,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38231-p2ulv44818),p2udm38231.1.2,p2ulv44818.1.2,1P_UG_AL_1/0_Brenau_2,0.00995751,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38231-p2ulv44819),p2udm38231.1.2,p2ulv44819.1.2,1P_UG_AL_1/0_Brenau_2,0.015419,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38231-p2udt12070lv),p2udt12070lv.1.2,p2udm38231.1.2,1P_UG_AL_2/0_Converse_2,0.00929676,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt12071lv-p2ulv44817),p2udt12071lv.1.2,p2ulv44817.1.2,1P_UG_AL_2/0_Converse_2,0.0151573,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt12071lv-p2ulv45204),p2udt12071lv.1.2,p2ulv45204.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0116796,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm38235-p2ulv44816),p2udm38235.1.2,p2ulv44816.1.2,1P_UG_AL_1/0_Brenau_2,0.0149598,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38235-p2udt12071lv),p2udt12071lv.1.2,p2udm38235.1.2,1P_UG_AL_1/0_Brenau_2,0.00929512,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38240-p2ulv44848),p2udm38240.1.2,p2ulv44848.1.2,1P_UG_AL_1/0_Brenau_2,0.0127793,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38240-p2ulv45242),p2udm38240.1.2,p2ulv45242.1.2,1P_UG_AL_1/0_Brenau_2,0.0136068,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm38239-p2ulv44847),p2udm38239.1.2,p2ulv44847.1.2,1P_UG_AL_2/0_Converse_2,0.011275,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
